Name,marker,ingredient,subtype,amount,units,Servetype-for-output
Frosted Malt-Chocolate Cookies,bake,chocolate,milk,6,oz,cookie cutter
Frosted Malt-Chocolate Cookies,,sugar,darkbrown,0.75,cup,
Frosted Malt-Chocolate Cookies,,cocoa powder,,0.5,cup,
Frosted Malt-Chocolate Cookies,,cream,heavy,0.66,cup,
Frosted Malt-Chocolate Cookies,,milk powder,malted,2,tbsp,
Frosted Malt-Chocolate Cookies,,baking powder,,1,tbsp,
Frosted Malt-Chocolate Cookies,,salt,kosher,1.5,tsp,
Frosted Malt-Chocolate Cookies,,flour,allpurpose,2,cup,
Frosted Malt-Chocolate Cookies,,butter,unsalted,0.75,cup,
Frosted Malt-Chocolate Cookies,,vanilla extract,,1,tsp,
Frosted Malt-Chocolate Cookies,decorate,chocolate,milk,4,oz,
Frosted Malt-Chocolate Cookies,decorate,cream,heavy,0.5,cup,
Frosted Malt-Chocolate Cookies,decorate,corn syrup,,1,tbsp,
Frosted Malt-Chocolate Cookies,decorate,salt,flaky,1,pinch,
Salted-Butter Oatmeal Chocolate Chip Cookies,bake,flour,allpurpose,1.5,cup,cookie cutter
Salted-Butter Oatmeal Chocolate Chip Cookies,,flour,wholewheat,0.5,cup,
Salted-Butter Oatmeal Chocolate Chip Cookies,,baking powder,,1,tsp,
Salted-Butter Oatmeal Chocolate Chip Cookies,,baking soda,,0.5,tsp,
Salted-Butter Oatmeal Chocolate Chip Cookies,,salt,kosher,1,tsp,
Salted-Butter Oatmeal Chocolate Chip Cookies,,butter,salted,1,cup,
Salted-Butter Oatmeal Chocolate Chip Cookies,,sugar,lightbrown,1.5,cup,
Salted-Butter Oatmeal Chocolate Chip Cookies,,sugar,,0.5,cup,
Salted-Butter Oatmeal Chocolate Chip Cookies,,egg,,2,piece,
Salted-Butter Oatmeal Chocolate Chip Cookies,,oats,,2,cup,
Salted-Butter Oatmeal Chocolate Chip Cookies,,vanilla extract,,1,tbsp,
Salted-Butter Oatmeal Chocolate Chip Cookies,,chocolate,semisweet,6,oz,
No-Bake Pistachio–White Chocolate Cookies,none,butter,almond,0.75,cup,
No-Bake Pistachio–White Chocolate Cookies,,chocolate,white,0.75,cup,
No-Bake Pistachio–White Chocolate Cookies,,oats,,1,cup,
No-Bake Pistachio–White Chocolate Cookies,,cranberries,dried,0.75,cup,
No-Bake Pistachio–White Chocolate Cookies,,salt,kosher,0.25,tsp,
No-Bake Pistachio–White Chocolate Cookies,,pistachios,unsalted,0.5,cup,
No-Bake Pistachio–White Chocolate Cookies,decorate,chocolate,white,0.25,cup,
No-Bake Pistachio–White Chocolate Cookies,decorate,oil,vegetable,0.5,tsp,
Goat Butter Shortbread ,bake,butter,goat,1,cup,rolling pin
Goat Butter Shortbread ,,sugar,,0.5,cup,
Goat Butter Shortbread ,,wheat germ,,0.25,cup,
Goat Butter Shortbread ,,flour,allpurpose,1.75,cup,
Goat Butter Shortbread ,,flour,wholewheat,0.25,cup,
Goat Butter Shortbread ,,salt,kosher,0.5,tsp,
Goat Butter Shortbread ,,salt,flakes,1,sprinkle,
Cinnamon–Chocolate Chunk Skillet Cookie ,bake,flour,allpurpose,1.5,cup,skillet
Cinnamon–Chocolate Chunk Skillet Cookie ,,cinnamon,,2,tsp,
Cinnamon–Chocolate Chunk Skillet Cookie ,,baking powder,,1,tsp,
Cinnamon–Chocolate Chunk Skillet Cookie ,,espresso powder,,1,tsp,
Cinnamon–Chocolate Chunk Skillet Cookie ,,baking soda,,0.5,tsp,
Cinnamon–Chocolate Chunk Skillet Cookie ,,salt,kosher,0.5,tsp,
